Date,Centre_Name,Commodity_Name,Price
22-01-09,AIZWAL,Potato,NA
22-01-09,KOHIMA,Potato,NA
22-01-09,AGARTALA,Potato,NA
22-01-09,BENGALURU,Potato,1100
22-01-09,T.PURAM,Potato,NA
22-01-09,CHENNAI,Potato,800
22-01-09,HYDERABAD,Potato,NA
23-01-09,CHANDIGARH,Potato,NA
23-01-09,DELHI,Potato,250
23-01-09,SHIMLA,Potato,NA
23-01-09,SRINAGAR,Potato,NA
23-01-09,JAMMU,Potato,NA
23-01-09,AMRITSAR,Potato,300
23-01-09,LUDHIANA,Potato,400
23-01-09,LUCKNOW,Potato,NA
23-01-09,DEHRADUN,Potato,NA
23-01-09,RAIPUR,Potato,NA
23-01-09,AHMEDABAD,Potato,NA
23-01-09,BHOPAL,Potato,NA
23-01-09,MUMBAI,Potato,NA
23-01-09,JAIPUR,Potato,NA
23-01-09,PATNA,Potato,NA
23-01-09,RANCHI,Potato,NA
23-01-09,BHUBANESHWAR,Potato,NA
23-01-09,KOLKATA,Potato,NA
23-01-09,GUWAHATI,Potato,NA
23-01-09,SHILLONG,Potato,NA
23-01-09,AIZWAL,Potato,NA
23-01-09,KOHIMA,Potato,NA
23-01-09,AGARTALA,Potato,NA
23-01-09,BENGALURU,Potato,NA
23-01-09,T.PURAM,Potato,NA
23-01-09,CHENNAI,Potato,800
23-01-09,HYDERABAD,Potato,NA
27-01-09,CHANDIGARH,Potato,NA
27-01-09,DELHI,Potato,250
27-01-09,SHIMLA,Potato,NA
27-01-09,SRINAGAR,Potato,NA
27-01-09,JAMMU,Potato,NA
27-01-09,AMRITSAR,Potato,300
27-01-09,LUDHIANA,Potato,400
27-01-09,LUCKNOW,Potato,NA
27-01-09,DEHRADUN,Potato,NA
27-01-09,RAIPUR,Potato,NA
27-01-09,AHMEDABAD,Potato,NA
27-01-09,BHOPAL,Potato,NA
27-01-09,MUMBAI,Potato,NA
27-01-09,JAIPUR,Potato,NA
27-01-09,PATNA,Potato,NA
27-01-09,RANCHI,Potato,NA
27-01-09,BHUBANESHWAR,Potato,450
27-01-09,KOLKATA,Potato,NA
27-01-09,GUWAHATI,Potato,NA
27-01-09,SHILLONG,Potato,NA
27-01-09,AIZWAL,Potato,NA
27-01-09,KOHIMA,Potato,NA
27-01-09,AGARTALA,Potato,NA
27-01-09,BENGALURU,Potato,1100
27-01-09,T.PURAM,Potato,NA
27-01-09,CHENNAI,Potato,NA
27-01-09,HYDERABAD,Potato,NA
28-01-09,CHANDIGARH,Potato,NA
28-01-09,DELHI,Potato,250
28-01-09,SHIMLA,Potato,NA
28-01-09,SRINAGAR,Potato,NA
28-01-09,JAMMU,Potato,NA
28-01-09,AMRITSAR,Potato,300
28-01-09,LUDHIANA,Potato,400
28-01-09,LUCKNOW,Potato,NA
28-01-09,DEHRADUN,Potato,NA
28-01-09,RAIPUR,Potato,NA
28-01-09,AHMEDABAD,Potato,NA
28-01-09,BHOPAL,Potato,300
28-01-09,MUMBAI,Potato,NA
28-01-09,JAIPUR,Potato,200
28-01-09,PATNA,Potato,NA
28-01-09,RANCHI,Potato,NA
28-01-09,BHUBANESHWAR,Potato,450
28-01-09,KOLKATA,Potato,NA
28-01-09,GUWAHATI,Potato,NA
28-01-09,SHILLONG,Potato,NA
28-01-09,AIZWAL,Potato,NA
28-01-09,KOHIMA,Potato,NA
28-01-09,AGARTALA,Potato,NA
28-01-09,BENGALURU,Potato,1100
28-01-09,T.PURAM,Potato,NA
28-01-09,CHENNAI,Potato,NA
28-01-09,HYDERABAD,Potato,NA
29-01-09,CHANDIGARH,Potato,NA
29-01-09,DELHI,Potato,250
29-01-09,SHIMLA,Potato,NA
29-01-09,SRINAGAR,Potato,NA
29-01-09,JAMMU,Potato,NA
29-01-09,AMRITSAR,Potato,300
29-01-09,LUDHIANA,Potato,400
29-01-09,LUCKNOW,Potato,NA
29-01-09,DEHRADUN,Potato,NA
29-01-09,RAIPUR,Potato,NA
29-01-09,AHMEDABAD,Potato,NA
29-01-09,BHOPAL,Potato,NA
29-01-09,MUMBAI,Potato,NA
29-01-09,JAIPUR,Potato,NA
29-01-09,PATNA,Potato,NA
29-01-09,RANCHI,Potato,NA
29-01-09,BHUBANESHWAR,Potato,NA
29-01-09,KOLKATA,Potato,NA
29-01-09,GUWAHATI,Potato,NA
29-01-09,SHILLONG,Potato,NA
29-01-09,AIZWAL,Potato,NA
29-01-09,KOHIMA,Potato,NA
29-01-09,AGARTALA,Potato,NA
29-01-09,BENGALURU,Potato,900
29-01-09,T.PURAM,Potato,NA
29-01-09,CHENNAI,Potato,600
29-01-09,HYDERABAD,Potato,NA
30-01-09,CHANDIGARH,Potato,NA
30-01-09,DELHI,Potato,250
30-01-09,SHIMLA,Potato,NA
30-01-09,SRINAGAR,Potato,NA
30-01-09,JAMMU,Potato,NA
30-01-09,AMRITSAR,Potato,NA
30-01-09,LUDHIANA,Potato,NA
30-01-09,LUCKNOW,Potato,NA
30-01-09,DEHRADUN,Potato,NA
30-01-09,RAIPUR,Potato,NA
30-01-09,AHMEDABAD,Potato,NA
30-01-09,BHOPAL,Potato,300
30-01-09,MUMBAI,Potato,NA
30-01-09,JAIPUR,Potato,NA
30-01-09,PATNA,Potato,NA
30-01-09,RANCHI,Potato,NA
30-01-09,BHUBANESHWAR,Potato,NA
30-01-09,KOLKATA,Potato,NA
30-01-09,GUWAHATI,Potato,NA
30-01-09,SHILLONG,Potato,NA
30-01-09,AIZWAL,Potato,NA
30-01-09,KOHIMA,Potato,NA
30-01-09,AGARTALA,Potato,NA
30-01-09,BENGALURU,Potato,900
30-01-09,T.PURAM,Potato,NA
30-01-09,CHENNAI,Potato,NA
30-01-09,HYDERABAD,Potato,NA
02-02-09,CHANDIGARH,Potato,NA
02-02-09,DELHI,Potato,250
02-02-09,SHIMLA,Potato,NA
02-02-09,SRINAGAR,Potato,NA
02-02-09,JAMMU,Potato,NA
02-02-09,AMRITSAR,Potato,300
02-02-09,LUDHIANA,Potato,400
02-02-09,LUCKNOW,Potato,250
02-02-09,DEHRADUN,Potato,NA
02-02-09,RAIPUR,Potato,NA
02-02-09,AHMEDABAD,Potato,NA
02-02-09,BHOPAL,Potato,300
02-02-09,MUMBAI,Potato,NA
02-02-09,JAIPUR,Potato,200
02-02-09,PATNA,Potato,NA
02-02-09,RANCHI,Potato,NA
02-02-09,BHUBANESHWAR,Potato,450
02-02-09,KOLKATA,Potato,NA
02-02-09,GUWAHATI,Potato,NA
02-02-09,SHILLONG,Potato,NA
02-02-09,AIZWAL,Potato,NA
02-02-09,KOHIMA,Potato,NA
02-02-09,AGARTALA,Potato,NA
02-02-09,BENGALURU,Potato,900
02-02-09,T.PURAM,Potato,NA
02-02-09,CHENNAI,Potato,NA
02-02-09,HYDERABAD,Potato,NA
03-02-09,CHANDIGARH,Potato,NA
03-02-09,DELHI,Potato,250
03-02-09,SHIMLA,Potato,NA
03-02-09,SRINAGAR,Potato,NA
03-02-09,JAMMU,Potato,NA
03-02-09,AMRITSAR,Potato,300
03-02-09,LUDHIANA,Potato,400
03-02-09,LUCKNOW,Potato,250
03-02-09,DEHRADUN,Potato,NA
03-02-09,RAIPUR,Potato,NA
03-02-09,AHMEDABAD,Potato,NA
03-02-09,BHOPAL,Potato,NA
03-02-09,MUMBAI,Potato,NA
03-02-09,JAIPUR,Potato,200
03-02-09,PATNA,Potato,NA
03-02-09,RANCHI,Potato,NA
03-02-09,BHUBANESHWAR,Potato,450
03-02-09,KOLKATA,Potato,NA
03-02-09,GUWAHATI,Potato,NA
03-02-09,SHILLONG,Potato,NA
03-02-09,AIZWAL,Potato,NA
03-02-09,KOHIMA,Potato,NA
03-02-09,AGARTALA,Potato,NA
03-02-09,BENGALURU,Potato,900
03-02-09,T.PURAM,Potato,NA
03-02-09,CHENNAI,Potato,NA
03-02-09,HYDERABAD,Potato,NA
